"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"UI Designer","Priyanka Naik","anushri.infipre@gmail.com","2010-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\calenderInterface.png",5,6,"15 Days",true,"I am very focused on my goals. Very hardworking and dedicated towards my dreams.","I am very well thoughrough with html, css, and javacscript.","I have the necessary skills.","yes , definitely.","Looking forward to join your company."
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"UI Designer","Pravesh naik","anushri.infipre@gmail.com","1973-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\adding Category2.png",5,6,"15 Days",true,"I am very optimistic as a person.","I Know html , css and javascript.","I have the necessary skills.","yes.","I want to know the company culture ."
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"Marketing Analytics","Kavita ponnuraj","anushri.infipre@gmail.com","2024-04-04","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\adding Category2.png",5,6,"15 Days",true,"I am very focused person.","I have all the necessary skills AND experience.","I am the right person for this job because I have all the skills and experience.","yes, definitely.","I am sure , that I am going to join your company soon."
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"UI Designer","Mitali verma","anushri.infipre@gmail.com","2010-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\Adding CategoriesSs.png",5,6,"15 Days",true,"I am very optimistic about my goals. I possess never to give up spirit.","I am very well thoughror with html, css javascript.","I have the required skills and experience for this position. ","yes , definitely.",""
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"UI Designer","Nehal Naik","anushri.infipre@gmail.com","2009-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\Adding CategoriesSs.png",5,6,"15 Days",true,"I am very bold as a person. Has my own perspectives in life.","I have all the necessary skills and experience.","I have all the necessary experience.","yes, definitely.","I want to explore and learn new technologies."
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"Marketing Analytics","Pranali Naik","anushri.infipre@gmail.com","2009-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\AdminDashboard.png",5,6,"15 Days",true,"I am very strong individual mentally. I never give up easily untill the task is done.","I have all the necessary skills as a UI Designer.","I have all the necessary skills.","Yes, definitely.","Personal Growth"
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"Marketing Analytics","Pranali Naik","anushri.infipre@gmail.com","2009-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\AdminDashboard.png",5,6,"15 Days",true,"I am very strong individual mentally. I never give up easily untill the task is done.","I have all the necessary skills as a UI Designer.","I have all the necessary skills.","Yes, definitely.","Personal Growth"
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
"Marketing Analytics","Savi Dalvi","anushri.infipre@gmail.com","2010-06-15","2345673345","Goa	",3,"bjbjbbh","C:\fakepath\adding Category2.png",5,6,"15 Days",true,"I am a strong Individual.","I have 5 months experience in React development.","I have necessary skills for the above job role. ","Yes, definitely.","Will there be proper mentor  provided to us during the internship who can guide us."
"jobTitle","name","email","date","number","location","experience","linkedInProfile","resume","monthlySalary","expectedSalary","daysToJoin","relocateGoa","personality","skills","specialexperience","willing","message"
